source,target,weight
papaabumario,mpguatemala,2
papaabumario,domingo94096837,1
papaabumario,alex_balsells,1
papaabumario,oco_motora,1
papaabumario,dougcrisgt,1
papaabumario,prensacomunitar,1
papaabumario,coronavirusgt,1
papaabumario,miriamroquel,1
enrique51859338,ricigt1,1
enrique51859338,traficogt,2
enrique51859338,barevalodeleon,1
gersonbarrera,ricigt1,1
gersonbarrera,traficogt,15
gersonbarrera,ep_investiga,1
gersonbarrera,barevalodeleon,1
gersonbarrera,karinherreravp,1
gersonbarrera,marieloscm,1
gersonbarrera,hshetemul,1
gersonbarrera,_kimberly_lopez,1
gersonbarrera,samuel_pz,1
gersonbarrera,sonny_figueroa,1
gersonbarrera,alex_balsells,1
gersonbarrera,tropicoferoz,1
gersonbarrera,quorumgt,1
gersonbarrera,jeanellydvg,1
gersonbarrera,prensacomunitar,1
gersonbarrera,aleph_____,1
gersonbarrera,infogt_noticias,1
gersonbarrera,lahoragt,1
gersonbarrera,kristianrecinos,1
gersonbarrera,mpguatemala,1
oracintfaith,jsandoval1982,1
oracintfaith,traficogt,3
oracintfaith,cmendeza,1
oracintfaith,robertoarzugg,1
joffar28,traficogt,6
joffar28,pmtmuniguate,1
joffar28,pncdeguatemala,1
joffar28,amilcarmontejo,2
joffar28,muniguate,1
rafaeldelaguil8,ricigt1,1
rafaeldelaguil8,traficogt,4
rafaeldelaguil8,mpguatemala,2
rafaeldelaguil8,mmendoza_gt,1
rafaeldelaguil8,congresoguate,1
rafaeldelaguil8,iduvina,1
rafaeldelaguil8,yoeldeleon23,1
blanki9rodiguez,amilcarmontejo,1
blanki9rodiguez,traficogt,1
florespolo76g,quorumgt,2
florespolo76g,traficogt,2
florespolo76g,jeanellydvg,2
locoxelalbo,traficogt,1
honor182,amilcarmontejo,2
honor182,pmtmuniguate,7
honor182,traficogt,11
honor182,munimixco_,2
honor182,munivillanueva,1
honor182,bomberosmuni,1
honor182,bvoluntariosgt,1
honor182,soy_502,1
honor182,aldodavila_gt,1
honor182,factor4_gt,3
honor182,pmt_villanueva,2
honor182,traficogtinfo,1
honor182,hombretraficogt,1
honor182,noti_mixco,1
honor182,muniguate,1
dsepet,carlosrkestler,1
dsepet,traficogt,1
josrafa44150143,danydoggy,1
josrafa44150143,traficogt,1
rmensoruin,72_cpineda,1
edwadriperez,rooavila,1
edwadriperez,traficogt,5
edwadriperez,usembassyguate,1
edwadriperez,oea_oficial,1
edwadriperez,almagro_oea2015,1
edwadriperez,cij_icj,1
edwadriperez,ueguatemala,1
edwadriperez,edgar_ortizgt,3
edwadriperez,alex_balsells,4
edwadriperez,acguatemala,2
edwadriperez,contraloria_gt,1
edwadriperez,pgn,1
edwadriperez,alvaroarzue,1
edwadriperez,sandra_jovelp,1
edwadriperez,barevalodeleon,3
edwadriperez,manfredoguate,1
edwadriperez,jlfont001,4
edwadriperez,marvindelcid,1
edwadriperez,sonny_figueroa,1
edwadriperez,quiquegodoy,1
edwadriperez,fiscalnvicto,1
edwadriperez,vicentecarrera_,1
edwadriperez,aeu_oliveriocdl,1
edwadriperez,soygeorgegt,1
edwadriperez,mmendoza_gt,1
edwadriperez,pedgar05,2
edwadriperez,ruano_pine,1
edwadriperez,bancadatodos,1
edwadriperez,felipealejos,1
edwadriperez,el_periodico,1
edwadriperez,lahoragt,1
edgar_ortizgt,cc_guatemala,1
alvaroarzue,barevalodeleon,1
jaguilar91juan,lahoragt,1
jaguilar91juan,traficogt,1
miss_pattygt,lahoragt,1
miss_pattygt,traficogt,6
miss_pattygt,cicloscap,1
miss_pattygt,egutierrezgiron,1
